"symbol","nameEN","ALPHA","MKT","SMB","HML","RMW","CMA","R2adj"
"BEYOND","BOUND AND BEYOND PUBLIC COMPANY LIMITED","9e-05","1.13773","1.09238","0.29637","-0.05104","0.13673","0.15108"
"BGRIM","B.GRIMM POWER PUBLIC COMPANY LIMITED","0.00059","1.19913","-0.1802","-0.67373","-0.71393","-0.37001","0.36971"
"BGT","BGT CORPORATION PUBLIC COMPANY LIMITED","0.00028","1.12234","1.40896","0.27636","-0.14794","0.08437","0.079"
"BH","BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED","0.00053","0.72138","-0.26244","-0.32621","-0.07503","0.16585","0.16917"
"BIG","BIG CAMERA CORPORATION PUBLIC COMPANY LIMITED","-0.00015","1.44026","1.28021","0.1244","0.23952","-0.07246","0.13043"
"BIOTEC","BIO GREEN ENERGY TECH PUBLIC COMPANY LIMITED","0.00014","1.13453","0.98254","0.05951","-0.80899","0.07815","0.0454"
"BIS","Bioscience Animal Health Public Company Limited","-0.00086","1.70712","1.94749","-0.03819","0.32179","0.77495","0.20287"
"BIZ","BUSINESS ALIGNMENT PUBLIC COMPANY LIMITED","0.00014","0.6991","0.78081","0.06002","0.09014","-0.08607","0.08197"
"BJC","BERLI JUCKER PUBLIC COMPANY LIMITED","-2e-05","0.94838","-0.10308","-0.22153","-0.2533","-0.11415","0.23183"
"BJCHI","BJC HEAVY INDUSTRIES PUBLIC COMPANY LIMITED","-0.00079","1.05286","0.85162","0.11003","-0.10944","0.02226","0.18126"
"BKD","BANGKOK DEC-CON PUBLIC COMPANY LIMITED","-3e-05","0.81371","0.735","0.04659","-0.16292","-0.03139","0.09309"
"BKI","BANGKOK INSURANCE PUBLIC COMPANY LIMITED","4e-05","0.27133","0.11387","0.06044","0.08853","-0.065","0.11927"
"BKKCP","BANGKOK COMMERCIAL PROPERTY FUND","0.00098","0.25457","0.03526","-0.16959","-0.33817","-0.01385","0.00156"
"BLA","BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED","-0.00019","0.90792","0.31703","0.29128","-0.03274","-0.03968","0.15761"
"BLAND","BANGKOK LAND PUBLIC COMPANY LIMITED","-0.00041","1.0068","0.4507","0.2854","-0.15131","-0.1142","0.31611"
"BLC","Bangkok Lab and Cosmetic Public Company Limited","-0.00579","2.09105","3.24488","-0.24318","1.85449","1.02008","0.32075"
"BLESS","BLESS ASSET GROUP PUBLIC COMPANY LIMITED","-0.00198","1.68756","1.3737","-0.07101","0.26204","0.03377","0.14302"
"BLISS","BLISS INTELLIGENCE PUBLIC COMPANY LIMITED","-0.00041","-0.04083","-0.04026","0.02072","0.12882","-0.06727","-0.00052"
"BM","BANGKOK SHEET METAL PUBLIC COMPANY LIMITED","1e-05","0.7761","0.81564","0.10636","-0.10761","-0.10198","0.08965"
"BOFFICE","BHIRAJ OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST","-0.00047","0.23348","0.08525","0.1035","-0.03928","-0.13411","0.04633"
"BOL","BUSINESS ONLINE PUBLIC COMPANY LIMITED","0.00084","0.67996","0.59693","-0.05893","0.11926","0.04921","0.06242"
"BPP","BANPU POWER PUBLIC COMPANY LIMITED","-0.00033","1.04682","0.09656","-0.03388","-0.32743","-0.14194","0.32183"
"BR","BANGKOK RANCH PUBLIC COMPANY LIMITED","-0.00092","0.94471","0.67556","0.13785","0.08227","-0.00593","0.10821"
"BRI","BRITANIA PUBLIC COMPANY LIMITED","-0.00063","1.5704","0.7506","0.17214","-0.00694","0.37679","0.20289"
"BROCK","BAAN ROCK GARDEN PUBLIC COMPANY LIMITED","0.00042","0.5944","0.82705","0.15444","0.11697","-0.03014","0.03093"
"BROOK","THE BROOKER GROUP PUBLIC COMPANY LIMITED","4e-05","1.0508","0.98146","-0.01222","-0.19044","0.24406","0.103"
"BRR","BURIRAM SUGAR PUBLIC COMPANY LIMITED","1e-05","0.91114","0.79526","0.22119","-0.23319","0.18681","0.1069"
